Returned,Order ID,Region
Yes,IN-2016-RO197807-42531,Oceania
Yes,IN-2015-HF149957-42062,Oceania
Yes,ID-2015-AG106757-42330,Oceania
Yes,ID-2017-DL129257-43043,Oceania
Yes,ID-2015-SC205757-42044,Oceania
Yes,IN-2017-BE113357-43004,Oceania
Yes,IN-2014-TT212657-41767,Oceania
Yes,IN-2016-LP170807-42548,Oceania
Yes,ID-2014-VM218357-41656,Oceania
Yes,IN-2017-RE194057-43072,Oceania
Yes,ID-2016-MG178757-42626,Oceania
Yes,IN-2016-AR108257-42722,Oceania
Yes,IN-2017-KN164507-43063,Oceania
Yes,IN-2017-LR170357-43044,Oceania
Yes,ID-2016-CC124307-42721,Oceania
Yes,IN-2016-GM146807-42622,Oceania
Yes,IN-2015-SO203357-42243,Oceania
Yes,ID-2016-AZ107507-42643,Oceania
Yes,ID-2015-IM150707-42230,Oceania
Yes,IN-2014-DV130457-41867,Oceania
Yes,ID-2016-SW207557-42513,Oceania
Yes,IN-2015-BW111107-42015,Oceania
Yes,IN-2017-TP211307-42904,Oceania
Yes,IN-2015-LH169007-42121,Oceania
Yes,IN-2015-CC122207-42146,Oceania
Yes,ES-2017-DL133158-43051,Western Europe
Yes,ES-2017-SJ202158-43000,Western Europe
Yes,ES-2014-JK156408-41991,Western Europe
Yes,ES-2017-CM119358-43026,Western Europe
Yes,AU-2017-PF91208-42912,Western Europe
Yes,AU-2016-AC6158-42639,Western Europe
Yes,ES-2017-TB211758-42907,Western Europe
Yes,ES-2016-JE161658-42717,Western Europe
Yes,ES-2017-TB211758-42907,Western Europe
Yes,ES-2014-KD166158-41931,Western Europe
Yes,ES-2016-KM167208-42440,Western Europe
Yes,ES-2015-RA198858-42028,Western Europe
Yes,ES-2015-BE114558-42120,Western Europe
Yes,AJ-2017-DJ34209-43099,Western Asia
Yes,AJ-2017-LW68259-43031,Western Asia
Yes,AJ-2017-SH99759-42994,Western Asia
Yes,IN-2014-SP2062011-41992,Southern Asia
Yes,IN-2014-SP2062011-41992,Southern Asia
Yes,IN-2015-LD1700511-42104,Southern Asia
Yes,IN-2017-NZ1856511-42827,Southern Asia
Yes,IN-2014-EH1399011-41782,Southern Asia
Yes,IN-2017-CS1246011-42805,Southern Asia
Yes,IN-2015-ZD2192511-42345,Southern Asia
Yes,IN-2017-MT1781511-42953,Southern Asia
Yes,IN-2014-PO1886511-41671,Southern Asia
Yes,IN-2016-AS1022511-42603,Southern Asia
Yes,IN-2015-CC1222011-42138,Southern Asia
Yes,BO-2017-DB291013-42745,Eastern Europe
Yes,BO-2017-DB291013-42745,Eastern Europe
Yes,BO-2015-LC714013-42352,Eastern Europe
Yes,BO-2017-KA652513-43007,Eastern Europe
Yes,ES-2017-JD1589514-42958,Western Europe
Yes,ES-2016-BE1133514-42617,Western Europe
Yes,ES-2015-RD1958514-42369,Western Europe
Yes,ES-2016-QJ1925514-42727,Western Europe
Yes,ES-2016-MH1744014-42395,Western Europe
Yes,ES-2015-JJ1544514-42330,Western Europe
Yes,ES-2017-BS1138014-43007,Western Europe
Yes,BN-2016-KD649515-42702,Western Africa
Yes,MX-2017-RB1957016-43064,South America
Yes,BK-2014-EB375017-41974,Southern Europe
Yes,MX-2017-CS1213018-43016,South America
Yes,MX-2017-MM1792018-42871,South America
Yes,US-2014-AH1019518-41696,South America
Yes,US-2014-AH1019518-41696,South America
Yes,US-2016-RS1987018-42689,South America
Yes,US-2015-AS1024018-42121,South America
Yes,US-2016-LH1675018-42436,South America
Yes,US-2016-JL1585018-42717,South America
Yes,MX-2017-VG2180518-42996,South America
Yes,US-2015-BH1171018-42206,South America
Yes,MX-2017-ZC2191018-42990,South America
Yes,MX-2017-ZC2191018-42990,South America
Yes,MX-2014-GK1462018-41951,South America
Yes,MX-2015-NP1870018-42337,South America
Yes,US-2015-SG2060518-42286,South America
Yes,MX-2015-BD1156018-42302,South America
Yes,MX-2014-BG1103518-41993,South America
Yes,MX-2017-BW1106518-42983,South America
Yes,MX-2017-TB2135518-43001,South America
Yes,MX-2015-MC1727518-42138,South America
Yes,MX-2015-BG1174018-42223,South America
Yes,MX-2015-MM1805518-42343,South America
Yes,MX-2015-NK1849018-42145,South America
Yes,MX-2017-SP2065018-43044,South America
Yes,US-2015-MH1762018-42342,South America
Yes,MX-2014-CJ1187518-41926,South America
Yes,MX-2015-LW1721518-42341,South America
Yes,MX-2014-KT1646518-41806,South America
Yes,MX-2017-BP1105018-43001,South America
Yes,MX-2015-MG1820518-42177,South America
Yes,MX-2017-HF1499518-42934,South America
Yes,US-2017-DJ1351018-42937,South America
Yes,MX-2017-GM1450018-42867,South America
Yes,MX-2015-MW1822018-42253,South America
Yes,MX-2015-AG1027018-42047,South America
Yes,MX-2017-BS1180018-42892,South America
Yes,MX-2017-JM1558018-42981,South America
Yes,US-2015-KW1657018-42292,South America
Yes,MX-2017-AR1057018-43098,South America
Yes,MX-2015-MC1810018-42159,South America
Yes,MX-2016-AG1033018-42552,South America
Yes,MX-2017-KC1625518-43012,South America
Yes,US-2014-RP1939018-41668,South America
Yes,MX-2016-TS2134018-42687,South America
Yes,MX-2017-TH2155018-42979,South America
Yes,MX-2015-DV1346518-42335,South America
Yes,MX-2015-ES1408018-42349,South America
Yes,MX-2015-MP1747018-42293,South America
Yes,MX-2016-KF1628518-42622,South America
Yes,MX-2016-PF1922518-42697,South America
Yes,MX-2015-AC1042018-42306,South America
Yes,MX-2016-EH1376518-42559,South America
Yes,BU-2016-PC874519-42685,Eastern Europe
Yes,BU-2015-JO528019-42156,Eastern Europe
Yes,BU-2017-DP310519-42924,Eastern Europe
Yes,CM-2015-EM406522-42266,Central Africa
Yes,CM-2016-AS28522-42377,Central Africa
Yes,CM-2017-LB673522-42963,Central Africa
Yes,CM-2015-MC759022-42226,Central Africa
Yes,CA-2016-JF529523-42588,Canada
Yes,CA-2014-MK790523-41658,Canada
Yes,CA-2014-NC862523-41944,Canada
Yes,CA-2016-DW348023-42606,Canada
Yes,CA-2016-DB291023-42602,Canada
Yes,CA-2017-TG1164023-43070,Canada
Yes,CA-2017-ME772523-42777,Canada
Yes,CA-2016-DM295523-42391,Canada
Yes,CA-2017-JD589523-43028,Canada
Yes,CA-2016-NW840023-42422,Canada
Yes,CA-2015-JL513023-42157,Canada
Yes,CA-2014-TP1141523-41698,Canada
Yes,CT-2017-JE616524-42837,Central Africa
Yes,MX-2015-SE2011026-42318,South America
Yes,MX-2016-BT1130526-42695,South America
Yes,MX-2016-BT1130526-42695,South America
Yes,MX-2016-BT1130526-42695,South America
Yes,MX-2015-BW1120026-42238,South America
Yes,MX-2016-MW1823526-42604,South America
Yes,MX-2015-BW1120026-42238,South America
Yes,MX-2016-JL1550526-42714,South America
Yes,MX-2016-FM1438026-42622,South America
Yes,IN-2014-CD1198027-41925,Eastern Asia
Yes,IN-2014-TS2143027-41995,Eastern Asia
Yes,IN-2017-IG1508527-43087,Eastern Asia
Yes,IN-2017-EH1400527-43007,Eastern Asia
Yes,IN-2017-MM1726027-43022,Eastern Asia
Yes,IN-2015-JB1540027-42129,Eastern Asia
Yes,IN-2017-AB1025527-42813,Eastern Asia
Yes,IN-2017-SJ2021527-42913,Eastern Asia
Yes,IN-2017-FO1430527-42807,Eastern Asia
Yes,IN-2016-KD1627027-42666,Eastern Asia
Yes,IN-2016-JW1595527-42720,Eastern Asia
Yes,IN-2016-VW2177527-42717,Eastern Asia
Yes,IN-2016-FH1435027-42702,Eastern Asia
Yes,IN-2017-KD1649527-43054,Eastern Asia
Yes,IN-2016-DC1285027-42724,Eastern Asia
Yes,IN-2015-TS2137027-42317,Eastern Asia
Yes,IN-2015-NC1834027-42364,Eastern Asia
Yes,IN-2014-CA1226527-41880,Eastern Asia
Yes,IN-2015-SW2075527-42260,Eastern Asia
Yes,IN-2016-KM1666027-42730,Eastern Asia
Yes,IN-2015-KC1625527-42094,Eastern Asia
Yes,IN-2014-PL1892527-41958,Eastern Asia
Yes,IN-2014-PL1892527-41958,Eastern Asia
Yes,IN-2017-AH1058527-42758,Eastern Asia
Yes,IN-2017-JL1523527-43053,Eastern Asia
Yes,IN-2014-NF1847527-41947,Eastern Asia
Yes,IN-2014-DR1288027-41872,Eastern Asia
Yes,IN-2016-VG2180527-42727,Eastern Asia
Yes,IN-2016-TZ2144527-42658,Eastern Asia
Yes,IN-2017-ED1388527-42938,Eastern Asia
Yes,IN-2017-DK1309027-43081,Eastern Asia
Yes,IN-2017-SC2023027-42771,Eastern Asia
Yes,IN-2017-AD1018027-42876,Eastern Asia
Yes,IN-2015-BP1105027-42099,Eastern Asia
Yes,IN-2015-MF1825027-42237,Eastern Asia
Yes,IN-2014-EP1391527-41916,Eastern Asia
Yes,IN-2017-DJ1351027-42816,Eastern Asia
Yes,IN-2014-AB1025527-41993,Eastern Asia
Yes,ID-2016-DC1285027-42505,Eastern Asia
Yes,IN-2017-TB2159527-43017,Eastern Asia
Yes,IN-2015-SD2048527-42345,Eastern Asia
Yes,ID-2014-ME1801027-41680,Eastern Asia
Yes,ID-2017-BV1124527-42963,Eastern Asia
Yes,ID-2016-SF2020027-42671,Eastern Asia
Yes,IN-2015-MY1829527-42044,Eastern Asia
Yes,IN-2014-LW1721527-41664,Eastern Asia
Yes,IN-2016-BN1151527-42391,Eastern Asia
Yes,IN-2016-BN1151527-42391,Eastern Asia
Yes,IN-2016-JS1588027-42547,Eastern Asia
Yes,IN-2017-AT1073527-43023,Eastern Asia
Yes,IN-2016-AH1012027-42629,Eastern Asia
Yes,IN-2017-CP1234027-42874,Eastern Asia
Yes,IN-2017-CL1256527-43074,Eastern Asia
Yes,IN-2017-RE1940527-42861,Eastern Asia
Yes,IN-2016-SO2033527-42645,Eastern Asia
Yes,IN-2017-RB1936027-42847,Eastern Asia
Yes,IN-2014-JO1528027-41994,Eastern Asia
Yes,IN-2016-CJ1201027-42541,Eastern Asia
Yes,IN-2014-TG2131027-41684,Eastern Asia
Yes,IN-2017-TW2102527-43059,Eastern Asia
Yes,IN-2016-PM1913527-42527,Eastern Asia
Yes,IN-2014-CD1279027-41839,Eastern Asia
Yes,IN-2016-JO1528027-42492,Eastern Asia
Yes,IN-2014-NF1838527-41995,Eastern Asia
Yes,IN-2014-NF1838527-41995,Eastern Asia
Yes,IN-2014-DS1318027-41861,Eastern Asia
Yes,IN-2017-MG1769527-43025,Eastern Asia
Yes,IN-2015-JE1561027-42077,Eastern Asia
Yes,IN-2014-NC1841527-41896,Eastern Asia
Yes,IN-2016-MK1790527-42405,Eastern Asia
Yes,IN-2016-EH1399027-42525,Eastern Asia
Yes,IN-2017-DW1358527-42879,Eastern Asia
Yes,IN-2015-CS1240027-42024,Eastern Asia
Yes,IN-2014-TC2098027-41764,Eastern Asia
Yes,IN-2016-VF2171527-42550,Eastern Asia
Yes,IN-2016-JE1571527-42370,Eastern Asia
Yes,IN-2017-PR1888027-42856,Eastern Asia
Yes,IN-2017-GM1468027-42736,Eastern Asia
Yes,IN-2015-BF1117027-42083,Eastern Asia
Yes,IN-2015-BF1117027-42083,Eastern Asia
Yes,IN-2015-JB1600027-42322,Eastern Asia
Yes,IN-2017-RC1996027-42958,Eastern Asia
Yes,MX-2016-EB1370528-42549,South America
Yes,MX-2017-LB1673528-42886,South America
Yes,MX-2016-AB1006028-42486,South America
Yes,MX-2014-HE1480028-41959,South America
Yes,MX-2017-ES1402028-42836,South America
Yes,MX-2016-ML1739528-42529,South America
Yes,MX-2016-AB1060028-42401,South America
Yes,MX-2015-JF1549028-42286,South America
Yes,MX-2017-CT1199528-42753,South America
Yes,MX-2015-SE2011028-42280,South America
Yes,MX-2016-SH1997528-42553,South America
Yes,MX-2016-SH1997528-42553,South America
Yes,MX-2017-AH1046528-43030,South America
Yes,MX-2017-PK1907528-43092,South America
Yes,MX-2014-ND1837028-41890,South America
Yes,MX-2017-TS2143028-43053,South America
Yes,MX-2017-SW2075528-42955,South America
Yes,US-2017-FH1427528-43096,South America
Yes,IV-2017-DP316529-42840,Western Africa
Yes,IV-2017-BP105029-42871,Western Africa
Yes,IV-2017-SF1020029-42784,Western Africa
Yes,IV-2014-BE133529-41964,Western Africa
Yes,IV-2016-RP939029-42422,Western Africa
Yes,HR-2017-BS159030-42863,Southern Europe
Yes,MX-2017-SC2044031-42920,Caribbean
Yes,MX-2016-LP1708031-42702,Caribbean
Yes,MX-2016-BP1129031-42680,Caribbean
Yes,MX-2015-JB1540031-42300,Caribbean
Yes,MX-2015-KF1628531-42364,Caribbean
Yes,MX-2015-RD1993031-42156,Caribbean
Yes,MX-2014-DC1328531-42000,Caribbean
Yes,MX-2014-VG2180531-41944,Caribbean
Yes,MX-2017-KS1630031-42794,Caribbean
Yes,MX-2016-JF1541531-42709,Caribbean
Yes,MX-2017-DB1361531-42740,Caribbean
Yes,MX-2016-TZ2144531-42669,Caribbean
Yes,MX-2017-MC1760531-43022,Caribbean
Yes,MX-2016-SJ2050031-42621,Caribbean
Yes,MX-2016-FM1429031-42634,Caribbean
Yes,MX-2014-DB1291031-41837,Caribbean
Yes,MX-2017-CA1196531-43082,Caribbean
Yes,MX-2017-FC1433531-42874,Caribbean
Yes,MX-2014-AW1093031-41643,Caribbean
Yes,MX-2014-AW1093031-41643,Caribbean
Yes,MX-2017-CD1192031-42850,Caribbean
Yes,MX-2016-TS2161031-42639,Caribbean
Yes,MX-2017-BF1127531-43079,Caribbean
Yes,MX-2014-AC1042031-41866,Caribbean
Yes,MX-2015-ML1739531-42117,Caribbean
Yes,MX-2016-JO1528031-42633,Caribbean
Yes,MX-2016-BT1153031-42715,Caribbean
Yes,CG-2014-AJ96033-41896,Central Africa
Yes,CG-2017-JB604533-42888,Central Africa
Yes,CG-2017-BT144033-42798,Central Africa
Yes,CG-2017-RD972033-42811,Central Africa
Yes,CG-2016-JF556533-42594,Central Africa
Yes,CG-2017-RW954033-43000,Central Africa
Yes,CG-2014-LC693033-41947,Central Africa
Yes,CG-2014-TB1162533-41685,Central Africa
Yes,CG-2015-MC763533-42195,Central Africa
Yes,CG-2016-MB730533-42418,Central Africa
Yes,CG-2014-EH394533-42001,Central Africa
Yes,CG-2014-AG52533-41851,Central Africa
Yes,CG-2016-DM295533-42450,Central Africa
Yes,IT-2016-BF1108034-42521,Northern Europe
Yes,ES-2015-DB1340534-42180,Northern Europe
Yes,ES-2017-JF1556534-42798,Northern Europe
Yes,US-2015-BB1099036-42109,Caribbean
Yes,US-2014-BD1172536-41800,Caribbean
Yes,MX-2016-ME1801036-42609,Caribbean
Yes,MX-2017-AR1082536-43078,Caribbean
Yes,MX-2014-SA2083036-41798,Caribbean
Yes,US-2017-TP2113036-43079,Caribbean
Yes,US-2014-PC1874536-41911,Caribbean
Yes,MX-2015-BF1100536-42156,Caribbean
Yes,US-2014-CW1190536-41971,Caribbean
Yes,US-2016-JK1532536-42435,Caribbean
Yes,US-2017-TZ2158036-43049,Caribbean
Yes,US-2014-RR1952536-42000,Caribbean
Yes,US-2014-LH1675036-41859,Caribbean
Yes,US-2016-MA1799536-42678,Caribbean
Yes,US-2015-MW1822036-42117,Caribbean
Yes,MX-2015-TH2123536-42311,Caribbean
Yes,US-2017-JC1538536-43092,Caribbean
Yes,MX-2017-SS2051536-42995,Caribbean
Yes,US-2017-JD1601536-42802,Caribbean
Yes,US-2016-JD1615036-42405,Caribbean
Yes,US-2017-DP1316536-42969,Caribbean
Yes,US-2014-CS1195036-41805,Caribbean
Yes,MX-2015-TB2128036-42363,Caribbean
Yes,MX-2016-BG1103536-42455,Caribbean
Yes,US-2016-EA1403536-42650,Caribbean
Yes,MX-2015-SJ2012536-42318,Caribbean
Yes,MX-2016-DJ1363036-42694,Caribbean
Yes,MX-2017-QJ1925536-42897,Caribbean
Yes,MX-2016-AG1076536-42499,Caribbean
Yes,US-2016-GM1444036-42611,Caribbean
Yes,US-2015-CL1256536-42294,Caribbean
Yes,MX-2016-BG1103536-42455,Caribbean
Yes,US-2015-TS2161036-42216,Caribbean
Yes,MX-2015-LW1712537-42320,South America
Yes,EG-2017-RD966038-43014,North Africa
Yes,EG-2017-RD966038-43014,North Africa
Yes,EG-2016-EM396038-42577,North Africa
Yes,EG-2016-AS28538-42447,North Africa
Yes,EG-2017-LS694538-42755,North Africa
Yes,EG-2017-KH651038-43085,North Africa
Yes,EG-2016-GB457538-42682,North Africa
Yes,EG-2017-EB411038-42931,North Africa
Yes,EG-2016-JK612038-42458,North Africa
Yes,EG-2015-BF108038-42211,North Africa
Yes,EG-2014-LC688538-41950,North Africa
Yes,EG-2015-MC763538-42069,North Africa
Yes,EG-2015-JB604538-42310,North Africa
Yes,EG-2017-KW643538-42799,North Africa
Yes,MX-2015-BD1177039-42256,Central America
Yes,MX-2014-NR1855039-41816,Central America
Yes,MX-2014-JP1552039-41924,Central America
Yes,MX-2017-MM1792039-43087,Central America
Yes,MX-2017-DB1336039-42918,Central America
Yes,MX-2016-JH1582039-42658,Central America
Yes,MX-2015-SL2015539-42216,Central America
Yes,MX-2016-TM2149039-42654,Central America
Yes,MX-2016-KB1660039-42683,Central America
Yes,MX-2014-DV1346539-41909,Central America
Yes,MX-2015-TS2108539-42324,Central America
Yes,MX-2017-AG1076539-42864,Central America
Yes,MX-2015-MD1735039-42342,Central America
Yes,MX-2015-TT2126539-42290,Central America
Yes,MX-2017-MK1790539-43074,Central America
Yes,MX-2017-BP1105039-42751,Central America
Yes,MX-2017-RE1940539-42841,Central America
Yes,MX-2016-ER1385539-42697,Central America
Yes,MX-2014-EH1400539-41768,Central America
Yes,MX-2016-RM1937539-42456,Central America
Yes,MX-2017-GM1469539-42862,Central America
Yes,MX-2015-HL1504039-42162,Central America
Yes,MX-2015-MS1736539-42182,Central America
Yes,MX-2015-YC2189539-42224,Central America
Yes,MX-2015-CS1225039-42366,Central America
Yes,MX-2016-EM1382539-42527,Central America
Yes,MX-2017-PS1897039-42941,Central America
Yes,MX-2016-RK1930039-42555,Central America
Yes,ES-2016-JD1579044-42476,Northern Europe
Yes,ES-2016-PO1919544-42675,Northern Europe
Yes,ES-2017-AR1057044-42996,Northern Europe
Yes,ES-2014-VW2177544-41877,Northern Europe
Yes,IT-2014-RF1984045-41755,Western Europe
Yes,IT-2015-KB1631545-42107,Western Europe
Yes,ES-2017-MH1802545-42842,Western Europe
Yes,ES-2015-DK1322545-42238,Western Europe
Yes,ES-2017-AG1027045-42904,Western Europe
Yes,ES-2015-JK1520545-42247,Western Europe
Yes,ES-2015-JS1568545-42048,Western Europe
Yes,ES-2017-RB1933045-43085,Western Europe
Yes,ES-2016-AJ1096045-42688,Western Europe
Yes,ES-2016-TH2155045-42633,Western Europe
Yes,IT-2016-MZ1751545-42512,Western Europe
Yes,ES-2017-FG1426045-42884,Western Europe
Yes,ES-2016-HR1477045-42528,Western Europe
Yes,ES-2014-NL1831045-41852,Western Europe
Yes,IT-2017-VG2179045-42928,Western Europe
Yes,ES-2017-MS1798045-42885,Western Europe
Yes,ES-2017-RF1984045-43081,Western Europe
Yes,ES-2015-AA1064545-42266,Western Europe
Yes,ES-2016-PS1904545-42576,Western Europe
Yes,ES-2016-BF1127545-42534,Western Europe
Yes,ES-2015-JB1600045-42036,Western Europe
Yes,ES-2017-VM2183545-42956,Western Europe
Yes,ES-2014-KH1663045-41688,Western Europe
Yes,ES-2017-NS1850545-43038,Western Europe
Yes,ES-2017-EN1378045-42876,Western Europe
Yes,ES-2017-BK1126045-42875,Western Europe
Yes,ES-2017-SW2075545-43051,Western Europe
Yes,ES-2015-MG1768045-42288,Western Europe
Yes,ES-2015-SP2092045-42047,Western Europe
Yes,ES-2015-SP2092045-42047,Western Europe
Yes,ES-2017-RB1957045-42907,Western Europe
Yes,IT-2017-DC1328545-42856,Western Europe
Yes,ES-2015-FC1433545-42114,Western Europe
Yes,IT-2015-TS2150545-42178,Western Europe
Yes,ES-2015-HP1481545-42281,Western Europe
Yes,ES-2015-EB1387045-42292,Western Europe
Yes,ES-2017-JP1546045-42790,Western Europe
Yes,ES-2016-CJ1201045-42584,Western Europe
Yes,ES-2017-JL1513045-42786,Western Europe
Yes,ES-2017-MG1814545-43063,Western Europe
Yes,ES-2015-DB1306045-42352,Western Europe
Yes,ES-2015-SV2081545-42331,Western Europe
Yes,ES-2016-RC1996045-42583,Western Europe
Yes,ES-2015-SG2047045-42013,Western Europe
Yes,ES-2016-GH1466545-42428,Western Europe
Yes,ES-2016-RH1949545-42675,Western Europe
Yes,ES-2017-MH1745545-42875,Western Europe
Yes,ES-2017-EG1390045-42959,Western Europe
Yes,ES-2017-FH1427545-42997,Western Europe
Yes,ES-2016-RF1934545-42585,Western Europe
Yes,ES-2015-JH1543045-42222,Western Europe
Yes,ES-2017-GZ1454545-42960,Western Europe
Yes,ES-2014-MS1783045-41818,Western Europe
Yes,IT-2017-FG1426045-42776,Western Europe
Yes,ES-2014-IL1510045-41950,Western Europe
Yes,ES-2017-AC1061545-42916,Western Europe
Yes,ES-2015-JS1588045-42253,Western Europe
Yes,IT-2017-RS1942045-42979,Western Europe
Yes,IT-2017-GH1441045-43080,Western Europe
Yes,ES-2016-BO1142545-42658,Western Europe
Yes,ES-2016-AG1030045-42575,Western Europe
Yes,ES-2017-AJ1078045-42761,Western Europe
Yes,ES-2017-ES1402045-43074,Western Europe
Yes,ES-2015-SN2071045-42274,Western Europe
Yes,ES-2016-DW1358545-42392,Western Europe
Yes,ES-2016-SP2092045-42721,Western Europe
Yes,ES-2014-TB2117545-41876,Western Europe
Yes,ES-2017-JK1532545-42910,Western Europe
Yes,IT-2014-CM1219045-41999,Western Europe
Yes,ES-2016-JD1606045-42430,Western Europe
Yes,ES-2016-JJ1576045-42583,Western Europe
Yes,ES-2016-PN1877545-42444,Western Europe
Yes,ES-2017-NS1864045-43064,Western Europe
Yes,IT-2015-KW1657045-42356,Western Europe
Yes,ES-2014-MY1829545-41958,Western Europe
Yes,ES-2017-JW1595545-42976,Western Europe
Yes,ES-2015-SF2020045-42019,Western Europe
Yes,ES-2014-CL1270045-41654,Western Europe
Yes,ES-2017-JF1541545-42953,Western Europe
Yes,ES-2017-KH1663045-43022,Western Europe
Yes,ES-2016-RO1978045-42444,Western Europe
Yes,ES-2015-KH1669045-42099,Western Europe
Yes,ES-2016-PP1895545-42419,Western Europe
Yes,ES-2017-AF1088545-42834,Western Europe
Yes,ES-2015-EK1379545-42257,Western Europe
